id,timestamp,count,provider,cause,percent
0,1561333630.0,1,aws,,
1,1561334530.0,2,aws,,
2,1561335430.0,1,aws,,
3,1561336330.0,1,aws,,
4,1561337230.0,2,aws,,
5,1561338130.0,1,aws,,
6,1561339030.0,3,aws,,
7,1561339930.0,2,aws,,
8,1561340830.0,1,aws,,
9,1561341730.0,1,aws,,
10,1561342630.0,2,aws,,
11,1561343530.0,1,aws,,
12,1561344430.0,2,aws,,
13,1561345330.0,1,aws,,
14,1561346230.0,1,aws,,
15,1561347130.0,1,aws,,
16,1561348030.0,1,aws,,
17,1561348930.0,0,aws,,
18,1561349830.0,1,aws,,
19,1561350730.0,0,aws,,
20,1561351630.0,0,aws,,
21,1561352530.0,0,aws,,
22,1561353430.0,0,aws,,
23,1561354330.0,0,aws,,
24,1561355230.0,0,aws,,
25,1561356130.0,0,aws,,
26,1561357030.0,1,aws,,
27,1561357930.0,0,aws,,
28,1561358830.0,0,aws,,
29,1561359730.0,0,aws,,
30,1561360630.0,0,aws,,
31,1561361530.0,0,aws,,
32,1561362430.0,0,aws,,
33,1561363330.0,0,aws,,
34,1561364230.0,0,aws,,
35,1561365130.0,0,aws,,
36,1561366030.0,0,aws,,
37,1561366930.0,0,aws,,
38,1561367830.0,1,aws,,
39,1561368730.0,0,aws,,
40,1561369630.0,0,aws,,
41,1561370530.0,0,aws,,
42,1561371430.0,1,aws,,
43,1561372330.0,3,aws,,
44,1561373230.0,12,aws,,
45,1561374130.0,31,aws,,
46,1561375030.0,38,aws,,
47,1561375930.0,61,aws,,
48,1561376830.0,49,aws,,
49,1561377730.0,153,aws,,
50,1561378630.0,212,aws,,
51,1561379530.0,289,aws,,
52,1561380430.0,348,aws,,
53,1561381330.0,187,aws,,
54,1561382230.0,142,aws,,
55,1561383130.0,110,aws,,
56,1561384030.0,60,aws,,
57,1561384930.0,53,aws,,
58,1561385830.0,49,aws,,
59,1561386730.0,23,aws,,
60,1561387630.0,38,aws,,
61,1561388530.0,45,aws,,
62,1561389430.0,26,aws,,
63,1561390330.0,26,aws,,
64,1561391230.0,18,aws,,
65,1561392130.0,26,aws,,
66,1561393030.0,22,aws,,
67,1561393930.0,25,aws,,
68,1561394830.0,9,aws,,
69,1561395730.0,14,aws,,
70,1561396630.0,20,aws,,
71,1561397530.0,6,aws,,
72,1561398430.0,12,aws,,
73,1561399330.0,21,aws,,
74,1561400230.0,16,aws,,
75,1561401130.0,12,aws,,
76,1561402030.0,7,aws,,
77,1561402930.0,9,aws,,
78,1561403830.0,8,aws,,
79,1561404730.0,9,aws,,
80,1561405630.0,5,aws,,
81,1561406530.0,12,aws,,
82,1561407430.0,6,aws,,
83,1561408330.0,14,aws,,
84,1561409230.0,10,aws,,
85,1561410130.0,7,aws,,
86,1561411030.0,6,aws,,
87,1561411930.0,10,aws,,
88,1561412830.0,9,aws,,
89,1561413730.0,14,aws,,
90,1561414630.0,15,aws,,
91,1561415530.0,5,aws,,
92,1561416430.0,3,aws,,
93,1561417330.0,7,aws,,
94,1561418230.0,4,aws,,
95,1515484030.0,0,aws,,
96,1515484930.0,0,aws,,
97,1515485830.0,0,aws,,
98,1515486730.0,0,aws,,
99,1515487630.0,0,aws,,
100,1515488530.0,0,aws,,
101,1515489430.0,0,aws,,
102,1515490330.0,0,aws,,
103,1515491230.0,1,aws,,
104,1515492130.0,3,aws,,
105,1515493030.0,0,aws,,
106,1515493930.0,0,aws,,
107,1515494830.0,0,aws,,
108,1515495730.0,0,aws,,
109,1515496630.0,0,aws,,
110,1515497530.0,0,aws,,
111,1515498430.0,0,aws,,
112,1515499330.0,0,aws,,
113,1515500230.0,0,aws,,
114,1515501130.0,0,aws,,
115,1515502030.0,0,aws,,
116,1515502930.0,0,aws,,
117,1515503830.0,0,aws,,
118,1515504730.0,1,aws,,
119,1515505630.0,1,aws,,
120,1515506530.0,0,aws,,
121,1515507430.0,0,aws,,
122,1515508330.0,0,aws,,
123,1515509230.0,0,aws,,
124,1515510130.0,0,aws,,
125,1515511030.0,0,aws,,
126,1515511930.0,1,aws,,
127,1515512830.0,1,aws,,
128,1515513730.0,0,aws,,
129,1515514630.0,1,aws,,
130,1515515530.0,1,aws,,
131,1515516430.0,2,aws,,
132,1515517330.0,0,aws,,
133,1515518230.0,0,aws,,
134,1515519130.0,0,aws,,
135,1515520030.0,1,aws,,
136,1515520930.0,2,aws,,
137,1515521830.0,2,aws,,
138,1515522730.0,1,aws,,
139,1515523630.0,3,aws,,
140,1515524530.0,3,aws,,
141,1515525430.0,1,aws,,
142,1515526330.0,1,aws,,
143,1515527230.0,4,aws,,
144,1515528130.0,3,aws,,
145,1515529030.0,1,aws,,
146,1515529930.0,7,aws,,
147,1515530830.0,0,aws,,
148,1515531730.0,4,aws,,
149,1515532630.0,24,aws,,
150,1515533530.0,50,aws,,
151,1515534430.0,34,aws,,
152,1515535330.0,22,aws,,
153,1515536230.0,11,aws,,
154,1515537130.0,11,aws,,
155,1515538030.0,10,aws,,
156,1515538930.0,6,aws,,
157,1515539830.0,2,aws,,
158,1515540730.0,3,aws,,
159,1515541630.0,1,aws,,
160,1515542530.0,0,aws,,
161,1515543430.0,4,aws,,
162,1515544330.0,3,aws,,
163,1515545230.0,1,aws,,
164,1515546130.0,1,aws,,
165,1515547030.0,0,aws,,
166,1515547930.0,0,aws,,
167,1515548830.0,1,aws,,
168,1515549730.0,4,aws,,
169,1515550630.0,1,aws,,
170,1515551530.0,0,aws,,
171,1515552430.0,3,aws,,
172,1515553330.0,5,aws,,
173,1515554230.0,0,aws,,
174,1515555130.0,1,aws,,
175,1515556030.0,1,aws,,
176,1515556930.0,0,aws,,
177,1515557830.0,0,aws,,
178,1515558730.0,0,aws,,
179,1515559630.0,0,aws,,
180,1515560530.0,0,aws,,
181,1515561430.0,1,aws,,
182,1515562330.0,1,aws,,
183,1515563230.0,0,aws,,
184,1515564130.0,3,aws,,
185,1515565030.0,2,aws,,
186,1515565930.0,1,aws,,
187,1515566830.0,0,aws,,
188,1515567730.0,0,aws,,
189,1515568630.0,2,aws,,
190,1573537869.0,2,aws,EC2,0.47
190,1573537869.0,2,aws,AWS Console,0.47
190,1573537869.0,2,aws,VPC,0.04
191,1573538769.0,1,aws,EC2,0.47
191,1573538769.0,1,aws,AWS Console,0.47
191,1573538769.0,1,aws,VPC,0.04
192,1573539669.0,1,aws,EC2,0.47
192,1573539669.0,1,aws,AWS Console,0.47
192,1573539669.0,1,aws,VPC,0.04
193,1573540569.0,0,aws,EC2,0.47
193,1573540569.0,0,aws,AWS Console,0.47
193,1573540569.0,0,aws,VPC,0.04
194,1573541469.0,2,aws,EC2,0.47
194,1573541469.0,2,aws,AWS Console,0.47
194,1573541469.0,2,aws,VPC,0.04
195,1573542369.0,0,aws,EC2,0.47
195,1573542369.0,0,aws,AWS Console,0.47
195,1573542369.0,0,aws,VPC,0.04
196,1573543269.0,0,aws,EC2,0.47
196,1573543269.0,0,aws,AWS Console,0.47
196,1573543269.0,0,aws,VPC,0.04
197,1573544169.0,0,aws,EC2,0.47
197,1573544169.0,0,aws,AWS Console,0.47
197,1573544169.0,0,aws,VPC,0.04
198,1573545069.0,16,aws,EC2,0.47
198,1573545069.0,16,aws,AWS Console,0.47
198,1573545069.0,16,aws,VPC,0.04
199,1573545969.0,19,aws,EC2,0.47
199,1573545969.0,19,aws,AWS Console,0.47
