,timestamp,count,provider
0,1515060508.0,6,azure
1,1515061408.0,3,azure
2,1515061871.0,1,aws
3,1515062308.0,0,azure
4,1515062771.0,0,aws
5,1515063208.0,0,azure
6,1515063671.0,0,aws
7,1515064108.0,2,azure
8,1515064571.0,1,aws
9,1515065008.0,0,azure
10,1515065471.0,0,aws
11,1515065908.0,6,azure
12,1515066371.0,0,aws
13,1515066808.0,0,azure
14,1515067271.0,1,aws
15,1515067708.0,0,azure
16,1515068171.0,1,aws
17,1515068608.0,0,azure
18,1515069071.0,1,aws
19,1515069508.0,7,azure
20,1515069971.0,0,aws
21,1515070408.0,0,azure
22,1515070871.0,0,aws
23,1515071308.0,0,azure
24,1515071771.0,0,aws
25,1515072208.0,0,azure
26,1515072671.0,2,aws
27,1515073108.0,0,azure
28,1515073571.0,1,aws
29,1515074008.0,0,azure
30,1515074471.0,2,aws
31,1515074908.0,0,azure
32,1515075371.0,0,aws
33,1515075808.0,2,azure
34,1515076271.0,1,aws
35,1515076708.0,5,azure
36,1515077171.0,2,aws
37,1515077608.0,3,azure
38,1515078071.0,10,aws
39,1515078508.0,6,azure
40,1515078971.0,6,aws
41,1515079408.0,0,azure
42,1515079871.0,4,aws
43,1515080308.0,2,azure
44,1515080771.0,2,aws
45,1515081208.0,3,azure
46,1515081671.0,1,aws
47,1515082108.0,1,azure
48,1515082571.0,2,aws
49,1515083008.0,2,azure
50,1515083471.0,6,aws
51,1515083908.0,5,azure
52,1515084371.0,1,aws
53,1515084808.0,4,azure
54,1515085271.0,4,aws
55,1515085708.0,3,azure
56,1515086171.0,3,aws
57,1515086608.0,2,azure
58,1515087071.0,2,aws
59,1515087508.0,5,azure
60,1515087971.0,2,aws
61,1515088408.0,2,azure
62,1515088871.0,2,aws
63,1515089308.0,8,azure
64,1515089771.0,2,aws
65,1515090208.0,4,azure
66,1515090671.0,1,aws
67,1515091108.0,14,azure
68,1515091571.0,7,aws
69,1515092008.0,5,azure
70,1515092471.0,1,aws
71,1515092908.0,5,azure
72,1515093371.0,3,aws
73,1515093808.0,13,azure
74,1515094271.0,3,aws
75,1515094708.0,1,azure
76,1515095171.0,1,aws
77,1515095608.0,6,azure
78,1515096071.0,3,aws
79,1515096508.0,1,azure
80,1515096971.0,2,aws
81,1515097408.0,3,azure
82,1515097871.0,3,aws
83,1515098308.0,4,azure
84,1515098771.0,3,aws
85,1515099208.0,5,azure
86,1515099671.0,0,aws
